Fetching logs from 2026-01-30 10:48:40.337073 to newest. Display time zone: local (CET).
Timestamp                   | Level   | Content
2026-01-30 10:50:59.562412  | ERROR   | #7      DatabaseConnection._mappedResultsQuery (package:serverpod/src/database/adapters/postgres/database_connection.dart:626)
2026-01-30 10:50:59.562415  | ERROR   | <asynchronous suspension>
2026-01-30 10:50:59.562418  | ERROR   | #8      DatabaseConnection._deserializedMappedQuery (package:serverpod/src/database/adapters/postgres/database_connection.dart:659)
2026-01-30 10:50:59.562420  | ERROR   | <asynchronous suspension>
2026-01-30 10:50:59.562423  | ERROR   | #9      AnalyticsEndpoint.getDailyStats (package:serverpod_flutter_butler_server/src/endpoints/analytics_endpoint.dart:10)
2026-01-30 10:50:59.562425  | ERROR   | <asynchronous suspension>
2026-01-30 10:50:59.562428  | ERROR   | #10     Server._handleEndpointCall (package:serverpod/src/server/server.dart:444)
2026-01-30 10:50:59.562430  | ERROR   | <asynchronous suspension>
2026-01-30 10:50:59.562433  | ERROR   | #11     Server._endpoints (package:serverpod/src/server/server.dart:311)
2026-01-30 10:50:59.562463  | ERROR   | <asynchronous suspension>
2026-01-30 10:50:59.562471  | ERROR   | #12     Server._reportException.<anonymous closure> (package:serverpod/src/server/server.dart:205)
2026-01-30 10:50:59.562475  | ERROR   | <asynchronous suspension>
2026-01-30 10:50:59.562480  | ERROR   | #13     Server._headers.<anonymous closure> (package:serverpod/src/server/server.dart:286)
2026-01-30 10:50:59.562483  | ERROR   | <asynchronous suspension>
2026-01-30 10:50:59.562487  | ERROR   | #14     _RoutingMiddlewareBuilder.call.<anonymous closure> (package:relic/src/middleware/routing_middleware.dart:121)
2026-01-30 10:50:59.562491  | ERROR   | <asynchronous suspension>
2026-01-30 10:50:59.562495  | ERROR   | #15     _RelicServer._wrapHandlerWithMiddleware.<anonymous closure> (package:relic/src/relic_server.dart:151)
2026-01-30 10:50:59.562499  | ERROR   | <asynchronous suspension>
2026-01-30 10:50:59.562503  | ERROR   | #16     _RelicServer._handleRequest (package:relic/src/relic_server.dart:127)
2026-01-30 10:50:59.562508  | ERROR   | <asynchronous suspension>
2026-01-30 10:50:59.562511  | ERROR   | {}
2026-01-30 11:00:56.005852  | INFO    | SERVERPOD version: 3.2.3, dart: 3.8.3 (stable) (Thu Jul 31 08:37:15 2025 -0700) on "linux_x64", time: 2026-01-30 10:00:56.004623Z
2026-01-30 11:00:56.009517  | INFO    | runMode: production
2026-01-30 11:00:56.009545  | INFO    | serverId: stilvang-74f6d6dcd-s8h5c
2026-01-30 11:00:56.009549  | INFO    | role: monolith
2026-01-30 11:00:56.009552  | INFO    | loggingMode: normal
2026-01-30 11:00:56.009555  | INFO    | applyMigrations: true
2026-01-30 11:00:56.009559  | INFO    | applyRepairMigration: false
2026-01-30 11:00:56.011574  | INFO    | SERVERPOD initialized, time: 2026-01-30 10:00:56.011482Z
2026-01-30 11:00:56.583613  | INFO    | SIGTERM (15) received, time: 2026-01-30 10:00:56.583208Z
2026-01-30 11:00:56.583668  | INFO    | SERVERPOD initiating shutdown, time: 2026-01-30 10:00:56.583344Z
2026-01-30 11:00:56.585388  | INFO    | SERVERPOD shutdown completed, time: 2026-01-30 10:00:56.585112Z
2026-01-30 11:00:56.788948  | ERROR   | Invalid serviceSecret in password file, Insights server disabled.Failed to apply migration 20260128220755898.
2026-01-30 11:00:56.789     | ERROR   | DatabaseQueryException: { message: relation "serverpod_cloud_storage" already exists, code: 42P07 }
2026-01-30 11:00:56.796631  | ERROR   | 2026-01-30 10:00:56.796414Z ERROR: Failed to apply database migrations.
2026-01-30 11:00:56.796669  | ERROR   | 2026-01-30 10:00:56.796414Z ERROR: DatabaseQueryException: { message: relation "serverpod_cloud_storage" already exists, code: 42P07 }
2026-01-30 11:00:56.801987  | ERROR   | package:postgres/src/v3/connection.dart 862                                    _PgResultStreamSubscription.handleError
2026-01-30 11:00:56.802022  | ERROR   | package:postgres/src/v3/connection.dart 494                                    PgConnectionImplementation._handleMessage
2026-01-30 11:00:56.802027  | ERROR   | dart:async/zone.dart 1538                                                      _rootRunUnary
2026-01-30 11:00:56.802035  | ERROR   | dart:async/zone.dart 1429                                                      _CustomZone.runUnary
2026-01-30 11:00:56.802037  | ERROR   | dart:async/zone.dart 1329                                                      _CustomZone.runUnaryGuarded
2026-01-30 11:00:56.802040  | ERROR   | dart:async/stream_impl.dart 381                                                _BufferingStreamSubscription._sendData
2026-01-30 11:00:56.802044  | ERROR   | dart:async/stream_impl.dart 312                                                _BufferingStreamSubscription._add
2026-01-30 11:00:56.802046  | ERROR   | dart:async/stream_controller.dart 798                                          _SyncStreamControllerDispatch._sendData
2026-01-30 11:00:56.802049  | ERROR   | dart:async/stream_controller.dart 663                                          _StreamController._add
2026-01-30 11:00:56.802051  | ERROR   | dart:async/stream_controller.dart 618                                          _StreamController.add
2026-01-30 11:00:56.802054  | ERROR   | dart:async/stream.dart 823                                                     Stream.asyncMap.<fn>.add
2026-01-30 11:00:56.802056  | ERROR   | dart:async/zone.dart 1538                                                      _rootRunUnary
2026-01-30 11:00:56.802060  | ERROR   | dart:async/stream_impl.dart 215                                                _BufferingStreamSubscription.resume
2026-01-30 11:00:56.802063  | ERROR   | ===== asynchronous gap ===========================
2026-01-30 11:00:56.802067  | ERROR   | package:postgres/src/v3/connection.dart 803                                    new _PgResultStreamSubscription.simpleQueryProtocol
2026-01-30 11:00:56.802069  | ERROR   | package:postgres/src/v3/connection.dart 153                                    _PgSessionBase.execute
2026-01-30 11:00:56.802072  | ERROR   | package:postgres/src/pool/pool_impl.dart 298                                   _PoolConnection.execute
2026-01-30 11:00:56.802074  | ERROR   | package:postgres/src/pool/pool_impl.dart 63                                    PoolImplementation.execute.<fn>
2026-01-30 11:00:56.802076  | ERROR   | package:postgres/src/pool/pool_impl.dart 153                                   PoolImplementation.withConnection
2026-01-30 11:00:56.802079  | ERROR   | package:serverpod/src/database/adapters/postgres/database_connection.dart 527  DatabaseConnection._query
2026-01-30 11:00:56.802097  | ERROR   | package:serverpod/src/database/adapters/postgres/database_connection.dart 607  DatabaseConnection.simpleExecute
2026-01-30 11:00:56.802099  | ERROR   | package:serverpod/src/database/migrations/migration_manager.dart 182           MigrationManager._migrateToLatestModule
2026-01-30 11:00:56.802102  | ERROR   | package:serverpod/src/database/migrations/migration_manager.dart 83            MigrationManager.migrateToLatest.<fn>
2026-01-30 11:00:56.802104  | ERROR   | package:serverpod/src/database/migrations/migration_manager.dart 252           MigrationManager._withMigrationLock.<fn>
2026-01-30 11:00:56.802107  | ERROR   | package:postgres/src/v3/connection.dart 554                                    PgConnectionImplementation.runTx.<fn>
2026-01-30 11:00:56.802109  | ERROR   | package:pool/pool.dart 127                                                     Pool.withResource
2026-01-30 11:00:56.802144  | ERROR   | package:postgres/src/pool/pool_impl.dart 153                                   PoolImplementation.withConnection
2026-01-30 11:00:56.802148  | ERROR   | package:serverpod/src/database/database.dart 399                               Database.transaction
2026-01-30 11:00:56.802152  | ERROR   | package:serverpod/src/database/migrations/migration_manager.dart 245           MigrationManager._withMigrationLock
2026-01-30 11:00:56.802156  | ERROR   | package:serverpod/src/database/migrations/migration_manager.dart 70            MigrationManager.migrateToLatest
2026-01-30 11:00:56.802160  | ERROR   | package:serverpod/src/server/serverpod.dart 798                                Serverpod._applyMigrations
2026-01-30 11:00:56.802164  | ERROR   | package:serverpod/src/server/serverpod.dart 662                                Serverpod._unguardedStart
2026-01-30 11:00:56.802168  | ERROR   | package:serverpod/src/server/serverpod.dart 625                                Serverpod.start.<fn>
2026-01-30 11:00:56.802171  | ERROR   | package:serverpod/src/server/serverpod.dart 624                                Serverpod.start
2026-01-30 11:00:56.802175  | ERROR   | package:serverpod_flutter_butler_server/server.dart 84                         run
2026-01-30 11:00:56.802179  | ERROR   | {}
2026-01-30 11:00:57.050047  | INFO    | 2026-01-30 10:00:57.049836Z WebServer  INFO: Webserver listening on http://stilvang.serverpod.space:8082
2026-01-30 11:00:57.052434  | ERROR   | WARNING: CPU and memory usage metrics are not supported on this platform.
2026-01-30 11:07:40.621090  | INFO    | SERVERPOD version: 3.2.3, dart: 3.8.3 (stable) (Thu Jul 31 08:37:15 2025 -0700) on "linux_x64", time: 2026-01-30 10:07:40.620065Z
2026-01-30 11:07:40.623869  | INFO    | runMode: production
2026-01-30 11:07:40.623888  | INFO    | serverId: stilvang-6b9b794b85-xvpw7
2026-01-30 11:07:40.623893  | INFO    | role: monolith
2026-01-30 11:07:40.623897  | INFO    | loggingMode: normal
2026-01-30 11:07:40.623901  | INFO    | applyMigrations: true
2026-01-30 11:07:40.623906  | INFO    | applyRepairMigration: false
2026-01-30 11:07:40.625431  | INFO    | SERVERPOD initialized, time: 2026-01-30 10:07:40.625352Z
2026-01-30 11:07:40.932527  | INFO    | SIGTERM (15) received, time: 2026-01-30 10:07:40.932308Z
2026-01-30 11:07:40.932597  | INFO    | SERVERPOD initiating shutdown, time: 2026-01-30 10:07:40.932388Z
2026-01-30 11:07:40.933674  | INFO    | SERVERPOD shutdown completed, time: 2026-01-30 10:07:40.933534Z
2026-01-30 11:07:41.385169  | ERROR   | Invalid serviceSecret in password file, Insights server disabled.Failed to apply migration 20260128220755898.
2026-01-30 11:07:41.385190  | ERROR   | DatabaseQueryException: { message: relation "serverpod_cloud_storage" already exists, code: 42P07 }
2026-01-30 11:07:41.392937  | ERROR   | 2026-01-30 10:07:41.392750Z ERROR: Failed to apply database migrations.
2026-01-30 11:07:41.392961  | ERROR   | 2026-01-30 10:07:41.392750Z ERROR: DatabaseQueryException: { message: relation "serverpod_cloud_storage" already exists, code: 42P07 }
2026-01-30 11:07:41.399356  | ERROR   | package:postgres/src/v3/connection.dart 862                                    _PgResultStreamSubscription.handleError
2026-01-30 11:07:41.399375  | ERROR   | package:postgres/src/v3/connection.dart 494                                    PgConnectionImplementation._handleMessage
2026-01-30 11:07:41.399380  | ERROR   | dart:async/zone.dart 1538                                                      _rootRunUnary
2026-01-30 11:07:41.399384  | ERROR   | dart:async/zone.dart 1429                                                      _CustomZone.runUnary
2026-01-30 11:07:41.399388  | ERROR   | dart:async/zone.dart 1329                                                      _CustomZone.runUnaryGuarded
2026-01-30 11:07:41.399392  | ERROR   | dart:async/stream_impl.dart 381                                                _BufferingStreamSubscription._sendData
2026-01-30 11:07:41.399396  | ERROR   | dart:async/stream_impl.dart 312                                                _BufferingStreamSubscription._add
2026-01-30 11:07:41.399400  | ERROR   | dart:async/stream_controller.dart 798                                          _SyncStreamControllerDispatch._sendData
2026-01-30 11:07:41.399404  | ERROR   | dart:async/stream_controller.dart 663                                          _StreamController._add
2026-01-30 11:07:41.399408  | ERROR   | dart:async/stream_controller.dart 618                                          _StreamController.add
2026-01-30 11:07:41.399412  | ERROR   | dart:async/stream.dart 823                                                     Stream.asyncMap.<fn>.add
2026-01-30 11:07:41.399416  | ERROR   | dart:async/zone.dart 1538                                                      _rootRunUnary
2026-01-30 11:07:41.399420  | ERROR   | dart:async/stream_impl.dart 215                                                _BufferingStreamSubscription.resume
2026-01-30 11:07:41.399424  | ERROR   | ===== asynchronous gap ===========================
2026-01-30 11:07:41.399429  | ERROR   | package:postgres/src/v3/connection.dart 803                                    new _PgResultStreamSubscription.simpleQueryProtocol
2026-01-30 11:07:41.399433  | ERROR   | package:postgres/src/v3/connection.dart 153                                    _PgSessionBase.execute
2026-01-30 11:07:41.399437  | ERROR   | package:postgres/src/pool/pool_impl.dart 298                                   _PoolConnection.execute
